Location,Date,Age,Length
BR,28-May-01,1,86
BR,28-May-01,1,80
BR,28-May-01,1,102
BR,28-May-01,1,87
BR,28-May-01,1,96
BR,29-May-01,1,89
BR,29-May-01,1,104
BR,29-May-01,1,86
BR,29-May-01,1,
BR,29-May-01,1,95
BR,29-May-01,1,91
BR,29-May-01,1,100
BR,29-May-01,1,112
BR,29-May-01,1,116
BR,29-May-01,1,93
BR,29-May-01,1,93
BR,30-May-01,1,95
BR,30-May-01,1,106
BR,30-May-01,1,87
BR,30-May-01,1,105
BR,30-May-01,1,93
BR,30-May-01,1,97
BR,30-May-01,1,87
BR,30-May-01,1,89
BR,1-Jun-01,1,92
BR,1-Jun-01,1,101
BR,1-Jun-01,1,93
BR,1-Jun-01,1,98
BR,1-Jun-01,1,94
BR,1-Jun-01,1,100
BR,1-Jun-01,1,95
BR,1-Jun-01,1,104
BR,1-Jun-01,1,85
BR,1-Jun-01,1,90
BR,1-Jun-01,1,93
BR,1-Jun-01,1,92
BR,1-Jun-01,1,82
BR,2-Jun-01,1,90
BR,3-Jun-01,1,86
BR,3-Jun-01,1,89
BR,3-Jun-01,1,91
BR,3-Jun-01,1,103
BR,3-Jun-01,1,102
BR,4-Jun-01,1,100
BR,4-Jun-01,1,95
BR,4-Jun-01,1,90
BR,4-Jun-01,1,97
BR,4-Jun-01,1,91
BR,5-Jun-01,1,94
BR,5-Jun-01,1,96
BR,5-Jun-01,1,86
BR,5-Jun-01,1,98
BR,6-Jun-01,1,82
BR,6-Jun-01,1,95
BR,6-Jun-01,1,97
BR,6-Jun-01,1,103
BR,6-Jun-01,1,94
BR,6-Jun-01,1,95
BR,7-Jun-01,1,94
BR,7-Jun-01,1,97
BR,7-Jun-01,1,94
BR,7-Jun-01,1,96
BR,7-Jun-01,1,88
BR,7-Jun-01,1,83
BR,8-Jun-01,1,90
BR,8-Jun-01,1,107
BR,8-Jun-01,1,98
BR,8-Jun-01,1,96
BR,8-Jun-01,1,87
BR,8-Jun-01,1,94
BR,9-Jun-01,1,97
BR,9-Jun-01,1,97
BR,9-Jun-01,1,89
BR,14-May-01,2,114
BR,14-May-01,2,113
BR,15-May-01,2,112
BR,15-May-01,2,120
BR,15-May-01,2,115
BR,15-May-01,2,135
BR,15-May-01,2,108
BR,15-May-01,2,107
BR,16-May-01,2,113
BR,16-May-01,2,126
BR,16-May-01,2,117
BR,16-May-01,2,131
BR,16-May-01,2,125
BR,16-May-01,2,110
BR,16-May-01,2,113
BR,16-May-01,2,112
BR,16-May-01,2,110
BR,16-May-01,2,127
BR,16-May-01,2,124
BR,16-May-01,2,111
BR,16-May-01,2,117
BR,16-May-01,2,119
BR,17-May-01,2,111
BR,17-May-01,2,107
BR,18-May-01,2,125
BR,18-May-01,2,118
BR,18-May-01,2,110
BR,18-May-01,2,112
BR,18-May-01,2,112
BR,19-May-01,2,116
BR,19-May-01,2,116
BR,19-May-01,2,116
BR,19-May-01,2,120
BR,19-May-01,2,111
BR,19-May-01,2,111
BR,19-May-01,2,103
BR,19-May-01,2,115
BR,20-May-01,2,101
BR,20-May-01,2,120
BR,20-May-01,2,120
BR,21-May-01,2,113
BR,21-May-01,2,118
BR,21-May-01,2,108
BR,21-May-01,2,115
BR,21-May-01,2,116
BR,21-May-01,2,116
BR,22-May-01,2,97
BR,22-May-01,2,113
BR,22-May-01,2,102
BR,22-May-01,2,111
BR,23-May-01,2,118
BR,25-May-01,2,112
BR,25-May-01,2,116
BR,26-May-01,2,111
BR,26-May-01,2,116
BR,28-May-01,2,108
BR,28-May-01,2,128
BR,29-May-01,2,116
BR,30-May-01,2,117
BR,3-Jun-01,2,104
BR,4-Jun-01,2,121
BR,26-May-02,1,78
BR,26-May-02,1,63
BR,27-May-02,1,86
BR,27-May-02,1,103
BR,27-May-02,1,92
BR,28-May-02,1,95
BR,28-May-02,1,85
BR,28-May-02,1,85
BR,29-May-02,1,93
BR,29-May-02,1,97
BR,29-May-02,1,84
BR,30-May-02,1,108
BR,30-May-02,1,101
BR,30-May-02,1,93
BR,30-May-02,1,92
BR,30-May-02,1,93
BR,30-May-02,1,84
BR,31-May-02,1,95
BR,31-May-02,1,99
BR,31-May-02,1,84
BR,1-Jun-02,1,91
BR,1-Jun-02,1,85
BR,1-Jun-02,1,91
BR,2-Jun-02,1,87
BR,2-Jun-02,1,93
BR,2-Jun-02,1,102
BR,2-Jun-02,1,114
BR,3-Jun-02,1,87
BR,3-Jun-02,1,92
BR,3-Jun-02,1,107
BR,4-Jun-02,1,83
BR,4-Jun-02,1,91
BR,4-Jun-02,1,104
BR,5-Jun-02,1,86
BR,5-Jun-02,1,89
BR,5-Jun-02,1,96
BR,5-Jun-02,1,95
BR,5-Jun-02,1,105
BR,5-Jun-02,1,106
BR,6-Jun-02,1,93
BR,6-Jun-02,1,87
BR,6-Jun-02,1,98
BR,6-Jun-02,1,101
BR,7-Jun-02,1,93
BR,7-Jun-02,1,97
BR,7-Jun-02,1,100
BR,7-Jun-02,1,105
BR,7-Jun-02,1,100
BR,7-Jun-02,1,98
BR,8-Jun-02,1,100
BR,8-Jun-02,1,102
BR,8-Jun-02,1,105
BR,8-Jun-02,1,110
BR,9-Jun-02,1,91
BR,9-Jun-02,1,91
BR,9-Jun-02,1,97
BR,9-Jun-02,1,100
BR,9-Jun-02,1,104
BR,9-Jun-02,1,102
BR,10-Jun-02,1,98
BR,10-Jun-02,1,104
BR,10-Jun-02,1,99
BR,10-Jun-02,1,96
BR,10-Jun-02,1,99
BR,11-Jun-02,1,92
BR,11-Jun-02,1,92
BR,11-Jun-02,1,99
BR,11-Jun-02,1,100
BR,11-Jun-02,1,106
BR,11-Jun-02,1,101
BR,13-Jun-02,1,93
BR,13-Jun-02,1,96
BR,13-Jun-02,1,99
BR,13-Jun-02,1,94
BR,13-Jun-02,1,100
BR,13-Jun-02,1,100
BR,14-May-02,1,77
BR,14-May-02,1,76
BR,16-May-02,1,74
BR,16-May-02,1,66
BR,17-May-02,1,68
BR,17-May-02,1,60
BR,23-May-02,1,100
BR,23-May-02,1,99
BR,24-May-02,1,110
BR,24-May-02,1,99
BR,25-May-02,1,112
BR,25-May-02,1,118
BR,25-May-02,1,110
BR,25-May-02,1,95
BR,25-May-02,1,91
BR,26-May-02,1,66
BR,26-May-02,1,116
BR,26-May-02,1,88
BR,26-May-02,1,95
BR,26-May-02,1,111
BR,26-May-02,1,84
BR,26-May-02,1,107
BR,26-May-02,1,99
BR,26-May-02,1,96
BR,26-May-02,2,135
BR,26-May-02,2,109
BR,26-May-02,2,115
BR,26-May-02,2,115
BR,26-May-02,2,115
BR,26-May-02,2,115
BR,27-May-02,2,105
BR,27-May-02,2,114
BR,28-May-02,2,115
BR,28-May-02,2,110
BR,28-May-02,2,107
BR,29-May-02,2,110
BR,29-May-02,2,112
BR,29-May-02,2,110
BR,29-May-02,2,100
BR,31-May-02,2,112
BR,31-May-02,2,106
BR,31-May-02,2,103
BR,31-May-02,2,109
BR,31-May-02,2,97
BR,1-Jun-02,2,109
BR,1-Jun-02,2,109
BR,1-Jun-02,2,96
BR,2-Jun-02,2,107
BR,2-Jun-02,2,107
BR,3-Jun-02,2,109
BR,3-Jun-02,2,115
BR,3-Jun-02,2,113
BR,3-Jun-02,2,104
BR,4-Jun-02,2,109
BR,4-Jun-02,2,108
BR,6-Jun-02,2,109
BR,6-Jun-02,2,114
BR,10-Jun-02,2,102
BR,10-Jun-02,2,93
BR,21-May-02,2,121
BR,22-May-02,2,111
BR,22-May-02,2,121
BR,22-May-02,2,107
BR,22-May-02,2,118
BR,22-May-02,2,116
BR,22-May-02,2,138
BR,23-May-02,2,105
BR,23-May-02,2,135
BR,23-May-02,2,135
BR,23-May-02,2,107
BR,23-May-02,2,130
BR,23-May-02,2,111
BR,23-May-02,2,121
BR,23-May-02,2,111
BR,23-May-02,2,113
BR,23-May-02,2,119
BR,23-May-02,2,128
BR,23-May-02,2,120
BR,23-May-02,2,119
BR,23-May-02,2,107
BR,24-May-02,2,104
BR,24-May-02,2,130
BR,24-May-02,2,106
BR,24-May-02,2,118
BR,24-May-02,2,108
BR,24-May-02,2,110
BR,24-May-02,2,127
BR,24-May-02,2,116
BR,24-May-02,2,105
BR,24-May-02,2,127
BR,24-May-02,2,117
BR,24-May-02,2,111
BR,24-May-02,2,119
BR,24-May-02,2,104
BR,24-May-02,2,129
BR,24-May-02,2,117
BR,24-May-02,2,112
BR,24-May-02,2,106
BR,24-May-02,2,128
BR,24-May-02,2,116
BR,24-May-02,2,111
BR,24-May-02,2,108
BR,24-May-02,2,111
BR,24-May-02,2,115
BR,25-May-02,2,98
BR,25-May-02,2,116
BR,25-May-02,2,99
BR,25-May-02,2,112
BR,25-May-02,2,116
BR,25-May-02,2,115
BR,25-May-02,2,118
BR,25-May-02,2,123
BR,25-May-02,2,115
BR,25-May-02,2,120
BR,25-May-02,2,116
BR,25-May-02,2,101
BR,25-May-02,2,107
BR,25-May-02,2,136
BR,25-May-02,2,104
BR,25-May-02,2,104
BR,25-May-02,2,145
BR,26-May-02,2,129
BR,26-May-02,2,112
BR,26-May-02,2,100
BR,26-May-02,2,105
BR,26-May-02,2,97
BR,26-May-02,2,108
BR,26-May-02,2,111
BR,26-May-02,2,120
BR,26-May-02,2,110
BR,26-May-02,2,125
BR,26-May-02,2,115
BR,26-May-02,2,107
BR,26-May-02,2,118
BR,26-May-02,2,113
BR,26-May-02,2,107
BR,26-May-02,2,111
BR,26-May-02,2,113
BR,26-May-02,2,113
BR,26-May-02,2,111
BR,26-May-02,2,111
BR,26-May-02,2,104
BR,26-May-02,2,116
BR,26-May-02,2,102
BR,26-May-02,2,109
BR,26-May-02,2,117
BR,26-May-02,2,123
BR,26-May-02,2,104
BR,26-May-02,2,105
BR,26-May-02,2,118
BR,26-May-02,2,126
BR,26-May-02,2,106
BR,26-May-02,2,108
BR,26-May-02,2,102
BR,26-May-02,2,112
BR,26-May-02,2,107
BR,26-May-02,2,119
BR,26-May-02,2,96
BR,26-May-02,2,97
BR,25-May-02,3,139
BR,14-May-03,1,102
BR,18-May-03,1,110
BR,19-May-03,1,77
BR,19-May-03,1,114
BR,21-May-03,1,87
BR,21-May-03,1,97
BR,21-May-03,1,104
BR,21-May-03,1,113
BR,21-May-03,1,106
BR,21-May-03,1,109
BR,21-May-03,1,93
BR,21-May-03,1,103
BR,21-May-03,1,116
BR,22-May-03,1,84
BR,22-May-03,1,64
BR,22-May-03,1,96
BR,22-May-03,1,101
BR,23-May-03,1,117
BR,23-May-03,1,96
BR,23-May-03,1,99
BR,23-May-03,1,107
BR,23-May-03,1,94
BR,23-May-03,1,116
BR,23-May-03,1,82
BR,24-May-03,1,89
BR,24-May-03,1,88
